Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
19-05-2024,10:32:18,"""CNR7423669""",Completed,"""CID1358963""",eBike,Hauz Khas,Kirti Nagar,2.3,42.1,1,Driver issue,1,Customer related issue,1,No proper reason,523,3.59,4.4,4.4,UPI
22-07-2024,19:36:20,"""CNR8376704""",Completed,"""CID3338093""",Go Sedan,IGI Airport,IGNOU Road,4.8,43.6,1,Driver issue,1,Customer related issue,1,No proper reason,860,45.55,4,4.6,UPI
10-06-2024,18:33:37,"""CNR2304594""",Cancelled by Customer,"""CID5930550""",Bike,Kashmere Gate,Samaypur Badli,10.4,10,1,Wrong Address,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
14-05-2024,08:43:03,"""CNR8879069""",Cancelled by Driver,"""CID4614525""",Premier Sedan,DLF Phase 3,Golf Course Road,9.5,10,1,Driver issue,1,Personal & Car related issues,1,No proper reason,879,12.5,3.8,4,UPI
28-12-2024,14:55:09,"""CNR2155328""",Completed,"""CID2270073""",Bike,Inderlok,Noida Extension,13.1,40.8,1,Driver issue,1,Customer related issue,1,No proper reason,112,33.42,4.1,4.7,Credit Card
21-02-2024,02:22:44,"""CNR3769039""",Completed,"""CID2677013""",Auto,Sikanderpur,Pitampura,3.4,34.4,1,Driver issue,1,Customer related issue,1,No proper reason,425,25.14,4.1,4.7,Cash
26-01-2024,21:19:33,"""CNR9498542""",Completed,"""CID5304425""",Go Mini,Munirka,Kashmere Gate,14.2,38.7,1,Driver issue,1,Customer related issue,1,No proper reason,999,34.99,4.2,4.2,Cash
01-10-2024,01:11:48,"""CNR3703506""",Cancelled by Customer,"""CID5293282""",Premier Sedan,Indraprastha,Subhash Chowk,19.2,10,1,Change of plans,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
01-05-2024,17:12:28,"""CNR1993533""",Completed,"""CID1180920""",Premier Sedan,Basai Dhankot,Manesar,8.5,34.3,1,Driver issue,1,Customer related issue,1,No proper reason,931,31.25,4.2,5,Uber Wallet
04-09-2024,08:32:46,"""CNR2391299""",Completed,"""CID5177815""",Go Mini,Vishwavidyalaya,Greater Kailash,14.6,33.4,1,Driver issue,1,Customer related issue,1,No proper reason,360,41.76,4.3,4.6,Uber Wallet
30-07-2024,08:36:25,"""CNR6654676""",Completed,"""CID8269786""",Premier Sedan,Chandni Chowk,Ghitorni Village,8.7,22,1,Driver issue,1,Customer related issue,1,No proper reason,576,25.58,3.8,3.9,Credit Card
11-06-2024,18:41:03,"""CNR9189938""",Completed,"""CID4433640""",Auto,Khan Market,Central Secretariat,3.5,44.2,1,Driver issue,1,Customer related issue,1,No proper reason,321,9.73,5,4.7,UPI
01-02-2024,17:54:31,"""CNR6145597""",Completed,"""CID9688201""",Auto,Saidulajab,Raj Nagar Extension,6.2,42.1,1,Driver issue,1,Customer related issue,1,No proper reason,964,18.16,4.7,4.2,Cash
18-10-2024,15:49:01,"""CNR4660627""",Incomplete,"""CID5517100""",Go Mini,Connaught Place,Rithala,9.9,18.1,1,Driver issue,1,Customer related issue,1,Vehicle Breakdown,92,14.18,3.8,4,UPI
31-01-2024,22:50:32,"""CNR7122816""",Completed,"""CID1861673""",Go Sedan,Dilshad Garden,Indirapuram,11.3,23.7,1,Driver issue,1,Customer related issue,1,No proper reason,338,49.25,4.2,4.7,Cash
22-02-2024,22:28:24,"""CNR6701125""",Cancelled by Driver,"""CID4861288""",Premier Sedan,Khan Market,South Extension,9.8,10,1,Driver issue,1,The customer was coughing/sick,1,No proper reason,879,12.5,3.8,4,UPI
21-08-2024,22:50:52,"""CNR1444592""",Completed,"""CID8095563""",Auto,Raj Nagar Extension,Saidulajab,9.4,43.1,1,Driver issue,1,Customer related issue,1,No proper reason,875,28.64,3.9,3.6,Debit Card
15-05-2024,11:30:44,"""CNR1046787""",No Driver Found,"""CID9669443""",Bike,Gurgaon Sector 29,Uttam Nagar,5.6,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
28-02-2024,20:54:59,"""CNR4552606""",Completed,"""CID3437070""",Go Mini,Vaishali,Jor Bagh,12.3,44.8,1,Driver issue,1,Customer related issue,1,No proper reason,1774,44.42,4.2,4.9,UPI
08-09-2024,18:00:43,"""CNR7894759""",Completed,"""CID3377412""",Auto,Mehrauli,Govindpuri,13.1,34.1,1,Driver issue,1,Customer related issue,1,No proper reason,501,5.64,4.9,3.7,Credit Card
06-01-2024,07:40:21,"""CNR4189146""",Completed,"""CID4373930""",eBike,Golf Course Road,Hauz Khas,3.7,37.4,1,Driver issue,1,Customer related issue,1,No proper reason,1244,8.82,4.2,4.2,UPI
13-10-2024,16:38:54,"""CNR9111883""",Completed,"""CID9012388""",Auto,INA Market,Kashmere Gate ISBT,7.2,37.5,1,Driver issue,1,Customer related issue,1,No proper reason,1237,47.46,3.3,4.3,UPI
01-08-2024,13:32:05,"""CNR7183904""",Completed,"""CID7092204""",Go Sedan,Karkarduma,Badshahpur,12.9,23.6,1,Driver issue,1,Customer related issue,1,No proper reason,156,18.15,3.9,4.2,UPI
20-07-2024,20:51:29,"""CNR2127582""",Cancelled by Driver,"""CID3080971""",Auto,Greater Kailash,Azadpur,7.9,10,1,Driver issue,1,More than permitted people in there,1,No proper reason,879,12.5,3.8,4,UPI
01-02-2024,19:26:27,"""CNR3104131""",Completed,"""CID4094434""",Go Sedan,Ghitorni Village,Nehru Place,3.9,20.9,1,Driver issue,1,Customer related issue,1,No proper reason,768,41.52,3.7,3.9,Cash
18-10-2024,09:08:01,"""CNR9055024""",Cancelled by Customer,"""CID3859966""",Go Sedan,GTB Nagar,Rajiv Nagar,19.1,10,1,Change of plans,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
31-01-2024,16:53:05,"""CNR1464563""",Completed,"""CID8059456""",Auto,Hero Honda Chowk,Udyog Vihar Phase 4,10.6,25.2,1,Driver issue,1,Customer related issue,1,No proper reason,158,36.2,4.3,4.1,UPI
23-08-2024,06:09:24,"""CNR8833601""",Cancelled by Driver,"""CID6707694""",Auto,Rajiv Chowk,Nawada,6.8,10,1,Driver issue,1,Personal & Car related issues,1,No proper reason,879,12.5,3.8,4,UPI
17-11-2024,01:14:56,"""CNR3451026""",Cancelled by Customer,"""CID6923086""",Auto,Khandsa,Shastri Park,9.3,10,1,Wrong Address,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
04-06-2024,18:15:42,"""CNR6760429""",Completed,"""CID8234696""",Go Mini,Chirag Delhi,Indraprastha,6.5,39.8,1,Driver issue,1,Customer related issue,1,No proper reason,282,32.24,3.8,4.1,UPI
19-05-2024,08:28:57,"""CNR4483260""",Incomplete,"""CID2073236""",Go Sedan,Panipat,Madipur,6.7,12.3,1,Driver issue,1,Customer related issue,1,Other Issue,1202,10.32,3.8,4,UPI
01-06-2024,18:08:25,"""CNR9249048""",Completed,"""CID9968725""",Premier Sedan,Cyber Hub,Azadpur,12.4,21.1,1,Driver issue,1,Customer related issue,1,No proper reason,752,22.37,4.6,4.1,Cash
08-08-2024,10:08:39,"""CNR4231350""",Completed,"""CID8711146""",Go Sedan,Subhash Nagar,Sohna Road,2,43.7,1,Driver issue,1,Customer related issue,1,No proper reason,383,38.04,4.8,4.6,UPI
17-11-2024,21:58:08,"""CNR3194389""",Completed,"""CID3763843""",Bike,RK Puram,Nirman Vihar,12.3,33.2,1,Driver issue,1,Customer related issue,1,No proper reason,3201,37.24,4.2,3.4,Cash
05-03-2024,22:07:17,"""CNR4677090""",Completed,"""CID9437448""",Go Sedan,New Delhi Railway Station,Noida Extension,6.8,37.9,1,Driver issue,1,Customer related issue,1,No proper reason,64,38.21,4.1,4.3,UPI
11-07-2024,07:40:33,"""CNR5528463""",Cancelled by Driver,"""CID8994954""",Go Sedan,Kashmere Gate ISBT,Shastri Nagar,11.4,10,1,Driver issue,1,The customer was coughing/sick,1,No proper reason,879,12.5,3.8,4,UPI
10-07-2024,20:30:21,"""CNR4969584""",Incomplete,"""CID6588170""",Bike,Barakhamba Road,Seelampur,2.8,14.2,1,Driver issue,1,Customer related issue,1,Vehicle Breakdown,315,1.09,3.8,4,Cash
17-02-2024,12:16:30,"""CNR1415453""",Incomplete,"""CID2880540""",Premier Sedan,Saidulajab,Tis Hazari,4.6,19.9,1,Driver issue,1,Customer related issue,1,Customer Demand,987,1.94,3.8,4,Credit Card
20-11-2024,13:25:32,"""CNR2533049""",Completed,"""CID3084465""",Go Sedan,Rajouri Garden,Shivaji Park,4.2,39.4,1,Driver issue,1,Customer related issue,1,No proper reason,239,13.24,4.9,4.3,Cash
06-03-2024,20:36:28,"""CNR8765382""",Completed,"""CID8663240""",Bike,Janakpuri,Dilshad Garden,14.7,22.1,1,Driver issue,1,Customer related issue,1,No proper reason,162,18.69,3.9,4.9,UPI
09-08-2024,07:18:04,"""CNR1157504""",Cancelled by Customer,"""CID3196061""",Bike,Lal Quila,Vidhan Sabha,17.3,10,1,Wrong Address,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
10-05-2024,20:02:50,"""CNR3517876""",No Driver Found,"""CID4988581""",Go Mini,New Delhi Railway Station,Ashok Vihar,5.6,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
16-10-2024,16:02:03,"""CNR8848098""",Completed,"""CID6014604""",eBike,Shahdara,Khan Market,11.8,16.6,1,Driver issue,1,Customer related issue,1,No proper reason,723,13.5,4.1,5,Uber Wallet
28-07-2024,19:53:27,"""CNR9856663""",Cancelled by Driver,"""CID3819722""",Auto,Lok Kalyan Marg,AIIMS,11.8,10,1,Driver issue,1,Personal & Car related issues,1,No proper reason,879,12.5,3.8,4,UPI
14-01-2024,18:22:35,"""CNR2015250""",No Driver Found,"""CID8547618""",Auto,Tis Hazari,Bhikaji Cama Place,5.6,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
31-08-2024,21:57:33,"""CNR8843345""",Completed,"""CID4637678""",Auto,Pataudi Chowk,Moti Nagar,9.9,44.8,1,Driver issue,1,Customer related issue,1,No proper reason,298,33.72,3.7,4.5,Cash
02-12-2024,17:31:25,"""CNR6242827""",Completed,"""CID4923147""",Bike,Manesar,Azadpur,9.4,37.9,1,Driver issue,1,Customer related issue,1,No proper reason,833,7.7,4.3,3.6,Cash
25-07-2024,05:50:59,"""CNR4554716""",Cancelled by Driver,"""CID8542300""",Premier Sedan,Udyog Vihar Phase 4,Akshardham,10.9,10,1,Driver issue,1,Personal & Car related issues,1,No proper reason,879,12.5,3.8,4,UPI
25-12-2024,12:22:00,"""CNR3702976""",Completed,"""CID6024999""",Go Mini,Kaushambi,Kashmere Gate,8.9,29.3,1,Driver issue,1,Customer related issue,1,No proper reason,576,20.04,5,5,Uber Wallet
10-01-2024,16:47:08,"""CNR8263485""",Cancelled by Customer,"""CID4561032""",Premier Sedan,Tis Hazari,Old Gurgaon,12.2,10,1,AC is not working,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
25-10-2024,15:54:07,"""CNR9004427""",Completed,"""CID4790635""",Bike,Rajiv Chowk,IGI Airport,13.7,16.9,1,Driver issue,1,Customer related issue,1,No proper reason,425,10.98,3.5,4,Credit Card
11-04-2024,17:37:52,"""CNR6836085""",No Driver Found,"""CID2025312""",Uber XL,Ghaziabad,Noida Extension,5.6,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
12-07-2024,14:21:03,"""CNR2074318""",Cancelled by Driver,"""CID2501774""",Premier Sedan,Nirman Vihar,IGNOU Road,10.5,10,1,Driver issue,1,More than permitted people in there,1,No proper reason,879,12.5,3.8,4,UPI
20-11-2024,19:15:52,"""CNR6153522""",Completed,"""CID1191542""",Go Mini,Noida Film City,Rajiv Chowk,10.9,23.3,1,Driver issue,1,Customer related issue,1,No proper reason,597,45.25,4.6,4.6,Cash
31-08-2024,22:17:34,"""CNR1781620""",Completed,"""CID8755782""",Auto,Janakpuri,Vidhan Sabha,8.7,44.9,1,Driver issue,1,Customer related issue,1,No proper reason,892,19.31,4.1,4.3,UPI
23-01-2024,15:56:42,"""CNR3691380""",Completed,"""CID8123123""",Auto,Inderlok,Shivaji Park,14,24.4,1,Driver issue,1,Customer related issue,1,No proper reason,388,43.28,3.8,3.9,Uber Wallet
21-12-2024,10:09:20,"""CNR2621777""",Cancelled by Driver,"""CID2890661""",Go Mini,Raj Nagar Extension,Satguru Ram Singh Marg,8.4,10,1,Driver issue,1,The customer was coughing/sick,1,No proper reason,879,12.5,3.8,4,UPI
01-01-2024,19:44:53,"""CNR9596582""",Cancelled by Driver,"""CID1534598""",Go Mini,Ghitorni,RK Puram,3.1,10,1,Driver issue,1,Personal & Car related issues,1,No proper reason,879,12.5,3.8,4,UPI
25-12-2024,17:12:17,"""CNR9567924""",Cancelled by Driver,"""CID7542929""",Bike,IFFCO Chowk,Ramesh Nagar,3.2,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
01-02-2024,19:30:13,"""CNR1864071""",Completed,"""CID7963477""",Bike,Jasola,Laxmi Nagar,13.3,31.1,1,Driver issue,1,Customer related issue,1,No proper reason,484,10.75,3.6,4.8,UPI
23-09-2024,06:27:37,"""CNR9850449""",Completed,"""CID3337818""",Go Mini,Samaypur Badli,Indraprastha,2.4,35.6,1,Driver issue,1,Customer related issue,1,No proper reason,946,28.25,3.8,4.2,UPI
14-04-2024,15:09:12,"""CNR7501656""",Completed,"""CID1433924""",Go Mini,Vasant Kunj,Kashmere Gate,5.2,15.6,1,Driver issue,1,Customer related issue,1,No proper reason,813,46.49,4.1,4.2,Cash
17-10-2024,11:50:12,"""CNR4885639""",Completed,"""CID8619502""",Go Sedan,Inderlok,Huda City Centre,7,30,1,Driver issue,1,Customer related issue,1,No proper reason,282,26.09,3.2,4.2,UPI
25-10-2024,09:53:36,"""CNR2698527""",Completed,"""CID9975163""",Premier Sedan,Paschim Vihar,Ashok Vihar,8.9,27.2,1,Driver issue,1,Customer related issue,1,No proper reason,62,23.99,4.7,4.1,Cash
17-12-2024,20:58:12,"""CNR3748022""",Completed,"""CID4676507""",Bike,Shahdara,AIIMS,8.3,36.6,1,Driver issue,1,Customer related issue,1,No proper reason,552,4.25,4.2,4.8,Credit Card
02-02-2024,18:25:05,"""CNR5902247""",Completed,"""CID6471105""",Auto,Maidan Garhi,ITO,7.8,34.2,1,Driver issue,1,Customer related issue,1,No proper reason,601,31.54,4.6,3.6,UPI
10-12-2024,19:57:26,"""CNR2156499""",No Driver Found,"""CID1396803""",Auto,Golf Course Road,Hauz Rani,5.6,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
25-05-2024,12:05:40,"""CNR1892680""",Completed,"""CID6008390""",Auto,Vishwavidyalaya,Ambience Mall,8,25.7,1,Driver issue,1,Customer related issue,1,No proper reason,1160,2.21,3.8,4.6,UPI
31-01-2024,19:10:19,"""CNR2405826""",No Driver Found,"""CID2894627""",Go Mini,Qutub Minar,ITO,5.6,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
24-03-2024,14:35:16,"""CNR5801587""",Completed,"""CID7916613""",Auto,New Colony,IGI Airport,6,41.8,1,Driver issue,1,Customer related issue,1,No proper reason,163,18.63,4.1,4.3,Cash
17-12-2024,18:02:50,"""CNR9361678""",No Driver Found,"""CID1315233""",Go Mini,Anand Vihar,New Delhi Railway Station,5.6,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
01-08-2024,19:51:56,"""CNR3472685""",Completed,"""CID4322861""",Auto,Sushant Lok,Ambience Mall,6.8,40.2,1,Driver issue,1,Customer related issue,1,No proper reason,164,3.43,4.3,3.1,Cash
01-02-2024,18:38:39,"""CNR5175595""",Completed,"""CID1643684""",eBike,Jahangirpuri,Ambience Mall,4.5,30.6,1,Driver issue,1,Customer related issue,1,No proper reason,129,6.12,3.2,3.7,UPI
25-04-2024,07:52:07,"""CNR6832805""",Completed,"""CID3976422""",Go Mini,Jama Masjid,Malviya Nagar,10.6,16.7,1,Driver issue,1,Customer related issue,1,No proper reason,634,34.28,3,4.9,UPI
25-01-2024,08:08:12,"""CNR1973375""",Completed,"""CID6601139""",Go Mini,Connaught Place,Delhi Gate,11.2,23.8,1,Driver issue,1,Customer related issue,1,No proper reason,128,46.1,4.3,4.3,UPI
17-11-2024,21:19:00,"""CNR1413322""",Completed,"""CID3164344""",Auto,Paharganj,Inderlok,2.8,21.4,1,Driver issue,1,Customer related issue,1,No proper reason,493,43.44,3.8,4.9,Uber Wallet
26-11-2024,19:33:04,"""CNR9700233""",Completed,"""CID9318577""",Bike,Karol Bagh,Lok Kalyan Marg,2.6,41,1,Driver issue,1,Customer related issue,1,No proper reason,61,42.35,4.3,4.6,Uber Wallet
28-12-2024,19:57:04,"""CNR1627094""",Completed,"""CID8365223""",Bike,Moolchand,Govindpuri,12.1,19.8,1,Driver issue,1,Customer related issue,1,No proper reason,1178,47.87,4.7,4.9,UPI
10-05-2024,15:55:46,"""CNR7397620""",No Driver Found,"""CID3076521""",eBike,Tilak Nagar,Faridabad Sector 15,5.6,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
08-04-2024,12:03:35,"""CNR7832496""",Completed,"""CID7078844""",Auto,Dwarka Mor,New Colony,9.6,44.6,1,Driver issue,1,Customer related issue,1,No proper reason,148,36.48,4.1,4.9,Credit Card
18-02-2024,16:48:04,"""CNR3693430""",Completed,"""CID2388064""",Bike,Saket A Block,Anand Vihar ISBT,7.2,42.6,1,Driver issue,1,Customer related issue,1,No proper reason,1048,45.47,4.3,4.2,UPI
07-05-2024,17:56:36,"""CNR9400632""",Cancelled by Driver,"""CID4646176""",Auto,Moolchand,Khandsa,7.7,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
30-12-2024,21:59:49,"""CNR9327909""",Completed,"""CID7124563""",Auto,Laxmi Nagar,Yamuna Bank,8.4,16.5,1,Driver issue,1,Customer related issue,1,No proper reason,249,7.8,4.4,4.4,Debit Card
10-10-2024,06:50:53,"""CNR9880800""",Completed,"""CID5123230""",Auto,Nawada,Preet Vihar,13.6,16.5,1,Driver issue,1,Customer related issue,1,No proper reason,325,19.49,4.3,4.6,UPI
28-07-2024,11:39:05,"""CNR3887627""",Completed,"""CID5209613""",Go Sedan,Dwarka Mor,Ardee City,6,33.5,1,Driver issue,1,Customer related issue,1,No proper reason,299,2.17,4.1,4.3,UPI
26-03-2024,14:38:10,"""CNR2868024""",Cancelled by Driver,"""CID4165629""",Auto,Gurgaon Sector 56,Ardee City,6.7,10,1,Driver issue,1,More than permitted people in there,1,No proper reason,879,12.5,3.8,4,UPI
05-07-2024,20:13:35,"""CNR2128275""",Incomplete,"""CID1481364""",Auto,Tis Hazari,Narsinghpur,8.7,29.9,1,Driver issue,1,Customer related issue,1,Other Issue,861,16.7,3.8,4,UPI
12-07-2024,17:55:56,"""CNR3186911""",No Driver Found,"""CID6424463""",eBike,Udyog Bhawan,Janakpuri,5.6,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
25-07-2024,20:04:21,"""CNR9200605""",Completed,"""CID6991087""",Bike,Ghitorni,Karol Bagh,2.4,36,1,Driver issue,1,Customer related issue,1,No proper reason,718,30.35,4.9,4.2,UPI
26-06-2024,20:50:32,"""CNR1819912""",Cancelled by Driver,"""CID8712176""",Bike,Moolchand,Punjabi Bagh,4.4,10,1,Driver issue,1,The customer was coughing/sick,1,No proper reason,879,12.5,3.8,4,UPI
28-07-2024,21:06:32,"""CNR3775547""",Completed,"""CID3710081""",Go Mini,New Delhi Railway Station,IIT Delhi,6,16,1,Driver issue,1,Customer related issue,1,No proper reason,1216,34.01,5,4.8,Uber Wallet
13-04-2024,13:59:46,"""CNR6001849""",Completed,"""CID2834366""",Premier Sedan,Panchsheel Park,Netaji Subhash Place,7.1,21.7,1,Driver issue,1,Customer related issue,1,No proper reason,1371,40.22,4.2,4.9,UPI
12-04-2024,13:33:39,"""CNR8837480""",Cancelled by Driver,"""CID8073324""",Go Sedan,Noida Film City,Moti Nagar,3.3,10,1,Driver issue,1,Personal & Car related issues,1,No proper reason,879,12.5,3.8,4,UPI
06-07-2024,12:37:55,"""CNR2740461""",Completed,"""CID6832510""",Bike,ITO,Tughlakabad,3.2,23.4,1,Driver issue,1,Customer related issue,1,No proper reason,1490,5.9,4.6,4.2,Cash
21-09-2024,18:50:16,"""CNR9524785""",Completed,"""CID4360232""",Auto,Rajiv Nagar,MG Road,8.1,38.5,1,Driver issue,1,Customer related issue,1,No proper reason,1162,21.18,3.7,4.3,Uber Wallet
28-09-2024,17:43:58,"""CNR2487219""",Completed,"""CID8684558""",Auto,Jama Masjid,Udyog Vihar Phase 4,10.2,16.7,1,Driver issue,1,Customer related issue,1,No proper reason,371,27.5,4.9,3.8,Credit Card
04-05-2024,08:12:38,"""CNR4571817""",Completed,"""CID3277653""",Auto,Vatika Chowk,Jhilmil,6.3,44.3,1,Driver issue,1,Customer related issue,1,No proper reason,550,29.04,4.3,4.9,Cash
23-03-2024,16:26:19,"""CNR4312814""",Completed,"""CID5737903""",Auto,Noida Sector 18,Vishwavidyalaya,7.8,23.7,1,Driver issue,1,Customer related issue,1,No proper reason,468,14.23,4.9,4.9,UPI
03-03-2024,22:59:52,"""CNR1271407""",Completed,"""CID8771582""",Go Mini,Central Secretariat,Rajiv Nagar,8.5,44.2,1,Driver issue,1,Customer related issue,1,No proper reason,389,31.03,4.1,4.3,UPI
23-11-2024,23:27:06,"""CNR2353479""",No Driver Found,"""CID2901383""",Go Mini,Gwal Pahari,Basai Dhankot,5.6,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
16-05-2024,18:24:11,"""CNR2824531""",Completed,"""CID5558939""",Auto,Bahadurgarh,Vinobapuri,5,38.5,1,Driver issue,1,Customer related issue,1,No proper reason,363,34.87,4.4,4.6,Cash
02-11-2024,12:11:05,"""CNR5975476""",Completed,"""CID7061960""",eBike,Chandni Chowk,Rajouri Garden,8.8,24.1,1,Driver issue,1,Customer related issue,1,No proper reason,617,21.9,3.4,4.1,UPI
24-01-2024,16:52:03,"""CNR5606901""",Completed,"""CID6024403""",eBike,Samaypur Badli,Moolchand,13.1,18.6,1,Driver issue,1,Customer related issue,1,No proper reason,728,27.43,4.6,5,Uber Wallet
03-11-2024,07:00:07,"""CNR8991725""",No Driver Found,"""CID3855510""",Bike,DLF Phase 3,Khan Market,5.6,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
18-03-2024,12:33:00,"""CNR1403247""",Completed,"""CID8799712""",Go Sedan,Peeragarhi,MG Road,7.7,41.3,1,Driver issue,1,Customer related issue,1,No proper reason,886,40.88,3.3,5,UPI
01-05-2024,13:07:54,"""CNR7348937""",No Driver Found,"""CID6709691""",Auto,Gurgaon Sector 56,Vaishali,5.6,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
13-04-2024,16:28:53,"""CNR6488767""",Completed,"""CID6507788""",Go Sedan,Madipur,New Delhi Railway Station,13.2,38.8,1,Driver issue,1,Customer related issue,1,No proper reason,561,34.6,3.8,5,UPI
11-08-2024,16:10:57,"""CNR8702781""",Cancelled by Driver,"""CID5037041""",Uber XL,Civil Lines Gurgaon,Connaught Place,3.1,10,1,Driver issue,1,More than permitted people in there,1,No proper reason,879,12.5,3.8,4,UPI
26-01-2024,18:12:09,"""CNR4750256""",Completed,"""CID3572966""",Go Sedan,Jhilmil,Sultanpur,11,31.3,1,Driver issue,1,Customer related issue,1,No proper reason,1023,47.14,4.6,4.2,Uber Wallet
23-07-2024,16:30:33,"""CNR2799591""",Completed,"""CID7053609""",Auto,Moolchand,Meerut,12.4,16.9,1,Driver issue,1,Customer related issue,1,No proper reason,181,21.54,3.9,4.6,Cash
14-12-2024,09:07:57,"""CNR8208668""",Cancelled by Driver,"""CID6634190""",Bike,Kadarpur,Bhikaji Cama Place,9.2,10,1,Driver issue,1,The customer was coughing/sick,1,No proper reason,879,12.5,3.8,4,UPI
11-03-2024,22:57:41,"""CNR8554049""",Completed,"""CID3084133""",Go Mini,Rajouri Garden,IGI Airport,8.7,23.3,1,Driver issue,1,Customer related issue,1,No proper reason,1239,28.79,4.9,4.5,UPI
22-09-2024,13:27:16,"""CNR7084011""",Cancelled by Driver,"""CID9807312""",Go Mini,Peeragarhi,Greater Noida,11,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
25-06-2024,19:27:51,"""CNR8289189""",Cancelled by Driver,"""CID5871765""",Go Sedan,Chanakyapuri,Bhiwadi,3.1,10,1,Driver issue,1,Personal & Car related issues,1,No proper reason,879,12.5,3.8,4,UPI
17-11-2024,05:43:45,"""CNR7067405""",Completed,"""CID9502285""",Bike,Greater Noida,Ghaziabad,10.3,26.1,1,Driver issue,1,Customer related issue,1,No proper reason,170,42.74,4.6,4.7,UPI
17-08-2024,22:51:27,"""CNR7739182""",Completed,"""CID2010674""",Go Mini,Cyber Hub,Sonipat,9.2,22.5,1,Driver issue,1,Customer related issue,1,No proper reason,1022,35.19,4.6,4.5,Cash
06-05-2024,06:42:39,"""CNR4984021""",Completed,"""CID6070379""",Go Mini,Nehru Place,Rithala,8.9,31.3,1,Driver issue,1,Customer related issue,1,No proper reason,324,24.18,3.3,4.2,Debit Card
17-08-2024,15:27:32,"""CNR4731350""",No Driver Found,"""CID4774514""",eBike,Saket,Ghitorni Village,5.6,10,1,Driver issue,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
26-09-2024,16:49:09,"""CNR5687756""",Incomplete,"""CID4215334""",eBike,Central Secretariat,Jahangirpuri,8.2,10.7,1,Driver issue,1,Customer related issue,1,Customer Demand,247,19.26,3.8,4,Uber Wallet
28-10-2024,14:41:27,"""CNR2225636""",Cancelled by Customer,"""CID6294991""",Go Sedan,Janakpuri,Peeragarhi,14.7,10,1,Driver asked to cancel,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
04-06-2024,20:32:34,"""CNR1780292""",Cancelled by Customer,"""CID6699556""",Auto,Mandi House,Hero Honda Chowk,16,10,1,Change of plans,1,Customer related issue,1,No proper reason,879,12.5,3.8,4,UPI
25-04-2024,20:54:58,"""CNR5514297""",Completed,"""CID2007928""",Go Sedan,Pataudi Chowk,Noida Sector 62,13.3,43.4,1,Driver issue,1,Customer related issue,1,No proper reason,57,27.02,4.2,4.3,Credit Card
05-06-2024,06:16:47,"""CNR7403062""",Completed,"""CID2857204""",Bike,Cyber Hub,Keshav Puram,7.2,21.1,1,Driver issue,1,Customer related issue,1,No proper reason,142,26.58,4.1,3.3,UPI
13-04-2024,19:41:43,"""CNR5970307""",Cancelled by Driver,"""CID1922725""",Go Sedan,Moolchand,Akshardham,3.5,10,1,Driver issue,1,Personal & Car related issues,1,No proper reason,879,12.5,3.8,4,UPI
04-02-2024,10:25:09,"""CNR7322260""",Cancelled by Driver,"""CID2036160""",eBike,Paharganj,Sikanderpur,9.6,10,1,Driver issue,1,The customer was coughing/sick,1,No proper reason,879,12.5,3.8,4,UPI
26-01-2024,19:18:45,"""CNR1567803""",Completed,"""CID1394326""",Uber XL,Udyog Vihar Phase 4,Shahdara,11.8,38.8,1,Driver issue,1,Customer related issue,1,No proper reason,389,47.42,4.2,4.9,UPI
